,Mean,Lower 95% CrI,Upper 95% CrI
Delta,1.6,0.45,6.5
Gamma,1.5,0.39,7.7
Non-VoI/VoC,0.42,0.12,1.3
B.1.1.7,1.3,0.51,3.6
Other Alpha,0.33,0.015,3.7
Other Beta,0.3,0.014,2.8
AY.12,1.2,0.16,7.0
AY.14,1.4,0.18,8.4
AY.20,0.59,0.024,5.3
AY.24,1.9,0.34,11
AY.25,1.0,0.23,4.7
AY.3,2.2,0.54,9.8
AY.4,2.3,0.39,14
B.1.617.2,2.8,0.85,11
Other Delta,0.49,0.069,3.0
Other Epsilon,0.25,0.012,2.1
B.1.525,0.46,0.023,2.8
Other Gamma,0.28,0.014,2.6
P.1,1.4,0.42,5.0
P.1.2,2.7,0.48,15
B.1.526,0.54,0.18,1.5
Other Kappa,3.0,0.14,170
B.1.621,2.1,0.62,8.7
Other Mu,0.38,0.017,6.0
B.1,0.72,0.087,5.9
B.1.1,0.27,0.013,2.4
B.1.1.434,0.3,0.015,2.9
B.1.1.519,0.38,0.055,2.0
B.1.2,0.24,0.046,1.0
B.1.234,0.54,0.074,3.4
B.1.243,0.46,0.089,2.0
B.1.311,0.23,0.0099,1.8
B.1.575,0.14,0.0061,1.0
B.1.596,0.23,0.01,2.0
B.1.637,0.41,0.08,1.7
R.1,0.48,0.095,2.1
Other,0.73,0.18,2.9
